knob,knob_value,knob_label,model,covariates_used,multivariate_used,n_origins,mae_mean,mae_std,rmse_mean,rmse_std,smape_mean,smape_std,pinball_mean,pinball_std,coverage_mean,coverage_std,mase_mean,spike_f1_mean_signal,spike_precision,spike_recall,spike_f1_q90_signal
covariates,[],无协变量,TimesFM,False,False,30,12.036539108564826,5.233212971849094,17.446807937625053,7.491009901219027,27.666265329694337,8.09126527224377,3.9990841523578142,1.764347223054144,0.7750000000000001,0.137183980276286,0.8043028623925507,0.3286384976525822,0.6481481481481481,0.220125786163522,0.3411371237458194
covariates,[],无协变量,Toto2,False,False,30,12.88812883079788,5.0630819474787385,18.266967349129533,7.168959589935519,29.920743420877972,7.278711194374721,4.232622767830091,1.6319478602854,0.7708333333333333,0.1021093126428489,0.8612075959707222,0.3333333333333333,0.5873015873015873,0.2327044025157232,0.336231884057971
covariates,[],无协变量,Chronos2,False,False,30,13.205590440273284,5.186076192365319,18.64520347524076,7.257756165569075,30.344874775780976,7.644193782261774,4.34666935483909,1.8974109040129483,0.7185185185185187,0.1469395142583509,0.8824209430049311,0.3170731707317073,0.4482758620689655,0.2452830188679245,0.325
covariates,[],无协变量,SeasonalNaive,False,False,30,14.9651824845679,6.306300547703117,22.552636104834207,9.982589345145929,32.45960674050627,10.106983068995511,5.676103380285418,2.1747684455403267,0.8550925925925926,0.0947899001553845,1.0,0.3221884498480243,0.3117647058823529,0.3333333333333333,0.2882205513784461
covariates,[],无协变量,Theta,False,False,30,17.47603913508074,10.461927821552292,24.106348892690644,14.521522524188,37.75369134522823,10.812172662646976,6.458391911337347,4.274418416600633,0.8254629629629627,0.1574080882338217,1.1677798886249489,0.3571428571428572,0.3004291845493562,0.440251572327044,0.2860635696821516
covariates,[],无协变量,Toto,False,False,30,20.216751857343844,9.395079698830642,37.71065454625604,24.168717598432472,42.58150461465254,11.228342843021796,5.567645122187533,2.274636072166983,0.8481481481481481,0.10262334075924,1.3509191670860925,0.3060498220640569,0.3524590163934426,0.270440251572327,0.3298701298701298
covariates,[],无协变量,ETS,False,False,30,25.52155688708636,12.58276832714454,30.34605530236824,14.651351970911495,73.65976649439345,38.59295439124998,8.31353727146916,5.036385215184781,0.7092592592592593,0.2286099672953399,1.705395635061864,0.328159645232816,0.2534246575342466,0.4654088050314465,0.2658092175777063
covariates,[],无协变量,LightGBM,False,False,30,26.93273617986837,15.204637427890244,32.43382741328539,18.91890869117852,52.99742781736895,13.504705876191704,11.422255985124757,7.497855869055351,0.212962962962963,0.1306999464212324,1.799693134891032,0.2702702702702703,0.2369668246445497,0.3144654088050314,0.2395209580838323
covariates,[],无协变量,XGBoost,False,False,30,29.72115519722008,9.58008689242416,35.34614557848682,11.036712305124295,58.26156067003912,11.024824476483454,14.760133865246797,4.788345485387886,0.0037037037037037,0.0079651159880024,1.9860202324875451,0.189406099518459,0.1271551724137931,0.3710691823899371,0.1858267716535433
covariates,[],无协变量,Naive,False,False,30,31.82317515432099,19.154248130009485,36.73829618267208,21.101952449743298,59.19890227477421,14.681635918527425,11.20043244529072,5.672905477868377,0.8643518518518519,0.1748633848487675,2.1264809291257927,0.2137834036568213,0.1376811594202898,0.4779874213836478,0.1326923076923077
