knob,knob_value,knob_label,model,covariates_used,multivariate_used,n_origins,mae_mean,mae_std,rmse_mean,rmse_std,smape_mean,smape_std,pinball_mean,pinball_std,coverage_mean,coverage_std,mase_mean,spike_f1_mean_signal,spike_precision,spike_recall,spike_f1_q90_signal
freq,1h,1h,Naive,False,False,29,22.258832614942524,8.790700464012083,29.78492148481186,10.555273173340582,76.74108270677587,25.07811460329354,8.463717228101538,1.831455427714902,0.94683908045977,0.06804812352073328,1.0923394615389945,0.11267605633802817,0.1111111111111111,0.11428571428571428,0.08360548661005879
freq,1h,1h,SeasonalNaive,False,False,29,20.377211845466157,7.241201672930021,28.541055815331887,9.47626411657616,88.40509505404253,26.52091889524784,7.092203829848,2.374246770039379,0.8280651340996169,0.13654213719458494,1.0,0.08695652173913045,0.08823529411764706,0.08571428571428572,0.11979166666666666
freq,1h,1h,ETS,False,False,29,19.06752130286783,7.377605388959663,25.50008039557826,9.20703007803462,81.4853470514871,20.625744004578902,6.497251726654495,2.248083754433505,0.8424329501915709,0.15966602634891772,0.9357276867644811,0.22556390977443608,0.23809523809523808,0.21428571428571427,0.12043010752688173
freq,1h,1h,Theta,False,False,29,20.56300603924367,8.066551370463833,27.554965023031887,10.149771613890879,81.29979606917546,19.512720458016034,6.893528942460449,2.4632841857215304,0.8271072796934867,0.16403518889310545,1.0091177436435619,0.2127659574468085,0.2112676056338028,0.21428571428571427,0.1026694045174538
freq,1h,1h,RandomForest,False,False,29,25.978428930901213,16.38532193389453,36.374539354517836,23.44780279701032,78.10297304126733,26.101150019264498,11.074358868507412,7.922280785284826,0.39415708812260547,0.17314261665519085,1.2748765202969268,0.09039548022598869,0.07476635514018691,0.11428571428571428,0.0990990990990991
freq,1h,1h,LightGBM,False,False,29,33.72779336054938,43.31466225268047,53.88170992156027,87.97569695705518,82.28250968811918,26.00221252693811,14.524015821888176,20.87557139403102,0.6015325670498084,0.1792838893114295,1.6551721411314506,0.10191082802547773,0.09195402298850575,0.11428571428571428,0.09106830122591944
freq,1h,1h,XGBoost,False,False,29,24.071575620120733,10.217260896154508,33.166676512283985,14.136869991730672,78.50975117029756,24.594733424768418,11.868881361099538,5.105000098965121,0.028735632183908046,0.021863433353473804,1.181298786245703,0.10344827586206896,0.08653846153846154,0.12857142857142856,0.11299435028248586
freq,1h,1h,TimesFM,False,False,29,15.017629455486325,4.695927009114283,21.43463069339116,7.807643658869529,75.71294749414434,19.65839173435095,4.929358097806212,1.6107474875314824,0.7739463601532568,0.11812717861858149,0.7369815639830866,0.0,0.0,0.0,0.16666666666666666
freq,1h,1h,Chronos2,False,False,29,14.936099523675852,5.288928337081194,21.43305373045501,8.019626029624552,75.06234667552297,22.372380892141713,4.850629251641687,1.69792118822159,0.7725095785440613,0.15246894041888512,0.7329805292768289,0.0,0.0,0.0,0.20209059233449478
freq,1h,1h,Toto,False,False,29,23.41886909627658,6.901738928686448,39.9472157771214,12.508940044559816,87.10940610931104,19.682318150630152,6.463973407695618,1.827579630912001,0.7777777777777777,0.11476279050411411,1.1492675874343026,0.020618556701030927,0.037037037037037035,0.014285714285714285,0.176
freq,15min,15min,Naive,False,False,30,25.545564814814806,33.47152775195761,32.81463093635207,33.885773053006986,73.96553833787516,42.782958861686424,10.211535385154566,11.753243245544667,0.7777777777777778,0.28655126158229227,0.8296408896266355,0.20149253731343286,0.16071428571428573,0.27,0.13854351687388988
freq,15min,15min,SeasonalNaive,False,False,30,30.791111111111114,13.985814119056068,41.04658101461684,17.949692648543103,104.07103494858205,40.02285759953119,10.778532818171577,4.3214538732072985,0.7930555555555554,0.17440927635596778,1.0,0.02,0.02,0.02,0.05436893203883496
freq,15min,15min,ETS,False,False,30,37.584410022445745,36.65446025463685,48.45519481885644,45.03298649138901,102.6104930524037,37.14773949952049,14.443510128296502,15.837455100436285,0.8013888888888887,0.24245693478706165,1.2206253254980213,0.2035928143712575,0.1452991452991453,0.34,0.12539184952978055
freq,15min,15min,Theta,False,False,30,24.756456464676962,26.806605157490072,32.05273494901077,27.5684139571754,75.79432493348561,41.40177674510743,9.732253788217907,9.959989628560038,0.837962962962963,0.23658268086105103,0.8040130924584752,0.20149253731343286,0.16071428571428573,0.27,0.13961312026913375
freq,15min,15min,RandomForest,False,False,30,30.55323238536147,53.50148928223915,39.46458007879302,57.700665094678534,74.68602054703173,41.951157563256075,14.433749446223725,26.578427672696332,0.300462962962963,0.23918165020958895,0.9922744351481423,0.18430034129692832,0.13989637305699482,0.27,0.18120805369127518
freq,15min,15min,LightGBM,False,False,30,27.02663415211159,45.57612853646791,34.87534269450018,47.25385037919804,72.7139866045666,42.73078721308891,12.349294403766594,22.514550394593932,0.37314814814814823,0.25114791328701597,0.8777414382542014,0.23214285714285712,0.20967741935483872,0.26,0.2835249042145594
freq,15min,15min,XGBoost,False,False,30,27.592145829894346,40.58978721658829,35.5801966282507,42.997179413782405,75.87044929685366,42.377058217610305,13.667163982393722,20.290007195029716,0.054629629629629625,0.0794571776034257,0.8961075074662568,0.16167664670658682,0.11538461538461539,0.27,0.16119402985074627
freq,15min,15min,TimesFM,False,False,30,17.398960019566395,10.671221444724988,24.229802624351,13.419202019450415,71.77161636222085,38.671292717753765,6.088329737054161,3.6495737249741973,0.7157407407407407,0.20869515904819375,0.5650643770788739,0.2589928057553956,0.46153846153846156,0.18,0.16972477064220182
freq,15min,15min,Chronos2,False,False,30,19.69010235212467,14.329872889858558,27.247415174987818,16.1484333050769,71.71771106901446,36.715312634367656,6.739113382464573,4.875391435481055,0.6759259259259258,0.21820245503994573,0.6394735896691758,0.1932367149758454,0.18691588785046728,0.2,0.12302839116719243
freq,15min,15min,Toto,False,False,30,35.79232317062689,33.29473735493662,67.71236626012139,60.43650124231253,87.50386131371233,34.19386176937394,9.233545351784324,7.704916708156282,0.7587962962962962,0.2041393699733441,1.1624238905010174,0.136986301369863,0.12605042016806722,0.15,0.2030769230769231
