model,origin,covariates_used,multivariate_used,mae,rmse,smape,pinball,coverage
Naive,2026-01-01 00:00:00+00:00,False,False,24.457164351851855,25.790640938550155,72.66147468081718,6.6854790540862865,0.5972222222222222
Naive,2026-01-02 00:00:00+00:00,False,False,12.993148148148144,15.649486586483425,98.77944018734239,4.131118975394805,1.0
Naive,2026-01-03 00:00:00+00:00,False,False,8.69978009259259,10.251172817105239,47.34227008290788,3.3804861166626776,1.0
Naive,2026-01-04 00:00:00+00:00,False,False,24.45171296296296,27.924302916697627,86.08287777498126,6.592445280879766,0.7083333333333334
Naive,2026-01-05 00:00:00+00:00,False,False,14.128854166666665,15.86147614965956,63.09152575267526,4.564041931716422,0.9444444444444444
Naive,2026-01-06 00:00:00+00:00,False,False,13.559456018518517,15.909997644507222,50.30720775300024,4.249402407604861,0.9861111111111112
Naive,2026-01-07 00:00:00+00:00,False,False,25.847060185185185,29.750052519016826,68.94821996759146,7.29194160528871,0.5
Naive,2026-01-08 00:00:00+00:00,False,False,25.73141203703704,33.125484959762396,83.7802631111411,7.659875523780229,0.5694444444444444
Naive,2026-01-09 00:00:00+00:00,False,False,15.4178125,20.240388731568753,44.07264834065272,5.350503105289381,0.75
Naive,2026-01-10 00:00:00+00:00,False,False,20.354236111111113,23.103771415231176,122.96630205430345,5.6738732422396305,0.8611111111111112
Naive,2026-01-11 00:00:00+00:00,False,False,14.80616898148148,16.642278647766116,50.88828365264002,4.697819824863026,0.9722222222222222
Naive,2026-01-12 00:00:00+00:00,False,False,17.342928240740736,22.37023453006628,44.77948502305846,5.37048316218413,0.8055555555555556
Naive,2026-01-13 00:00:00+00:00,False,False,12.301712962962966,16.65379957306763,36.30075440898468,4.313687458733402,1.0
Naive,2026-01-14 00:00:00+00:00,False,False,15.10815972222222,21.138054907853345,71.69877312527754,4.923562616400378,0.9027777777777778
Naive,2026-01-15 00:00:00+00:00,False,False,18.73664351851852,23.16559266761754,92.20268805176563,6.001106965836583,0.7777777777777778
Naive,2026-01-16 00:00:00+00:00,False,False,15.08366898148148,17.994464825648382,95.37446967766776,4.772509547209608,0.9722222222222222
Naive,2026-01-17 00:00:00+00:00,False,False,20.005347222222227,22.3404926042239,87.56607532669793,5.688548689482086,0.8333333333333334
Naive,2026-01-18 00:00:00+00:00,False,False,18.475266203703704,23.68003409718301,74.06905633077407,6.080834975761964,0.6666666666666666
Naive,2026-01-19 00:00:00+00:00,False,False,26.70534722222222,30.64773026709631,100.4694169650451,7.473159579246924,0.6805555555555556
Naive,2026-01-20 00:00:00+00:00,False,False,31.88255787037037,47.58282747073732,73.11571917523723,11.709522639908563,0.5416666666666666
Naive,2026-01-21 00:00:00+00:00,False,False,11.89597222222222,13.04523873619849,50.20180555367738,6.122536927200204,1.0
Naive,2026-01-22 00:00:00+00:00,False,False,9.348703703703702,11.028861924563216,22.79860475780046,5.6536097146751985,1.0
Naive,2026-01-23 00:00:00+00:00,False,False,30.77357638888889,34.39865511803329,73.73813606114994,9.228508918618337,0.9722222222222222
Naive,2026-01-24 00:00:00+00:00,False,False,97.77591435185185,139.1132626106934,119.43687049722315,37.056021242824954,0.5277777777777778
Naive,2026-01-25 00:00:00+00:00,False,False,221.9955208333333,229.63443689367435,82.73971833509907,89.34686031437253,0.041666666666666664
Naive,2026-01-26 00:00:00+00:00,False,False,255.85366898148152,330.9957953308579,88.4692916348026,103.7996074193148,0.3333333333333333
Naive,2026-01-27 00:00:00+00:00,False,False,61.773622685185195,71.65037722046732,52.86918912137859,32.72321890604982,1.0
Naive,2026-01-28 00:00:00+00:00,False,False,149.8194675925926,245.79303972064736,76.00708351741791,56.67314911300989,0.9166666666666666
Naive,2026-01-29 00:00:00+00:00,False,False,77.4020138888889,81.3900854308613,134.4349930197916,47.55505050573206,1.0
Naive,2026-01-30 00:00:00+00:00,False,False,21.39239583333333,29.633725410147605,38.95508222900866,38.24475443722171,1.0
SeasonalNaive,2026-01-01 00:00:00+00:00,False,False,12.945335648148149,14.379884222238529,44.181670021622594,4.113863397696764,0.875
SeasonalNaive,2026-01-02 00:00:00+00:00,False,False,14.766493055555555,17.740112406205306,106.82855053690754,4.576418106242507,0.875
SeasonalNaive,2026-01-03 00:00:00+00:00,False,False,8.74207175925926,10.98235005635937,93.51683245499873,3.3473221553713652,0.9861111111111112
SeasonalNaive,2026-01-04 00:00:00+00:00,False,False,9.946747685185185,15.917411619359095,60.99070883934069,3.865132847149591,0.9305555555555556
SeasonalNaive,2026-01-05 00:00:00+00:00,False,False,10.012442129629628,15.36141022758554,62.777210473969966,3.6634792923704746,0.9305555555555556
SeasonalNaive,2026-01-06 00:00:00+00:00,False,False,10.06210648148148,14.0305808028711,46.41941556957881,3.25642142831209,0.875
SeasonalNaive,2026-01-07 00:00:00+00:00,False,False,8.743599537037037,15.17426732530944,25.760036423169918,3.326585312186405,0.8472222222222222
SeasonalNaive,2026-01-08 00:00:00+00:00,False,False,16.465902777777778,23.133660035950875,70.79738368020217,5.307200567609352,0.6805555555555556
SeasonalNaive,2026-01-09 00:00:00+00:00,False,False,21.04721064814815,24.37878868644394,87.4477712186846,6.97539730593605,0.4861111111111111
SeasonalNaive,2026-01-10 00:00:00+00:00,False,False,29.5078125,35.16639300827677,136.72199662847342,10.158351952501187,0.3055555555555556
SeasonalNaive,2026-01-11 00:00:00+00:00,False,False,20.58190972222222,26.85581003631066,119.73728542917179,6.117809011740654,0.7222222222222222
SeasonalNaive,2026-01-12 00:00:00+00:00,False,False,8.018541666666668,10.831694186891232,27.463624438787843,3.311715213354617,0.9722222222222222
SeasonalNaive,2026-01-13 00:00:00+00:00,False,False,8.599270833333334,12.077407466548445,25.529760525399574,3.3842911332942287,0.9722222222222222
SeasonalNaive,2026-01-14 00:00:00+00:00,False,False,14.241238425925925,20.195833731393602,71.01325627644358,4.662069405137001,0.8472222222222222
SeasonalNaive,2026-01-15 00:00:00+00:00,False,False,11.146400462962962,14.444317728143433,67.551410731658,3.82647142970164,0.9166666666666666
SeasonalNaive,2026-01-16 00:00:00+00:00,False,False,17.184826388888894,26.100911526487025,92.27581146423466,5.589723952150961,0.8333333333333334
SeasonalNaive,2026-01-17 00:00:00+00:00,False,False,9.637048611111112,13.46920999722923,81.74878397883626,3.1609781968707744,0.9583333333333334
