knob,knob_value,knob_label,model,covariates_used,multivariate_used,n_origins,mae_mean,mae_std,rmse_mean,rmse_std,smape_mean,smape_std,pinball_mean,pinball_std,coverage_mean,coverage_std,mase_mean,spike_f1_mean_signal,spike_precision,spike_recall,spike_f1_q90_signal
horizon,48,48h（两日前）,TimesFM,False,False,30,34.32136870913226,46.00014075309885,54.4462417204427,78.96475487306057,66.69980088403682,22.837007911803287,13.04797779954323,18.33800052664616,0.7673611111111112,0.16611356913206773,0.701038167164815,0.4994686503719447,0.6025641025641025,0.426497277676951,0.525965379494008
horizon,48,48h（两日前）,Chronos2,False,False,30,35.13691655731054,45.866481678626336,52.73404184802408,71.27342973551093,68.13162346392632,23.539806048374956,13.002682936506508,16.993951657768203,0.7446759259259259,0.17603569309513406,0.717696307274769,0.6407599309153712,0.6112026359143328,0.6733212341197822,0.5266622778143516
horizon,48,48h（两日前）,Toto,False,False,30,64.55748324959995,93.28609759878734,137.92932072545048,234.15388569368866,80.53968501915126,20.482266849868694,18.041801690634014,24.472388855450987,0.7717592592592593,0.15196261204498168,1.3186321360788478,0.5327433628318584,0.5198618307426598,0.5462794918330308,0.5326231691078562
horizon,168,168h（周前）,Naive,False,False,25,48.957249669312176,61.63029537116069,75.3436439059192,87.3327726937426,77.48662029867187,19.1772660209676,19.03237046322981,20.21328895089193,0.893095238095238,0.16995000969376423,1.1769606268739967,0.22639691714836224,0.4662698412698413,0.1494910941475827,0.2674750974447813
horizon,168,168h（周前）,SeasonalNaive,False,False,25,41.59633597883598,44.262882866980824,70.77454338534972,80.79229868920275,84.25519630628101,19.906798031490677,16.858434218953544,19.639028536385705,0.6825396825396827,0.18092714248943634,1.0,0.09396689802455953,0.292358803986711,0.05597964376590331,0.3138142995794242
horizon,168,168h（周前）,ETS,False,False,25,132.11074009289428,448.0982690805411,176.5976954640328,535.5519694904095,99.30480799445121,33.904526271379886,61.36180198018191,220.56892005456285,0.593968253968254,0.23549030029254286,3.1760186801095074,0.2894280762564992,0.453804347826087,0.21246819338422393,0.3758036236119229
horizon,168,168h（周前）,Theta,False,False,25,48.84299291274203,64.66732167358596,75.65000834156518,89.16264332646988,81.59487900712944,20.062940079347904,19.963177933476278,28.835664847801535,0.6356349206349206,0.21715080510841783,1.1742138282947112,0.23921200750469043,0.45535714285714285,0.16221374045801526,0.35313531353135313
horizon,168,168h（周前）,RandomForest,False,False,25,41.510030069631114,39.07855661913221,71.61574302715718,78.23982483315616,75.02754858469062,16.638116637006636,19.919503662731,19.52712592692566,0.11746031746031745,0.06149385399463207,0.9979251559741036,0.06128461991750147,0.416,0.03307888040712468,0.06064139941690962
horizon,168,168h（周前）,LightGBM,False,False,25,40.41375603703931,39.36048236276934,70.49479237255078,78.17538245849754,75.98312748721747,16.340810577087414,18.843326360636002,19.577485853530792,0.2038888888888889,0.09031641419875648,0.9715700935198148,0.0695970695970696,0.8636363636363636,0.03625954198473282,0.08133971291866028
horizon,168,168h（周前）,XGBoost,False,False,25,42.24451185557911,38.75527697288718,72.11958632808899,77.69037039003965,78.26733370777829,15.638831568644159,21.013341002775483,19.379724303902155,0.011825396825396824,0.006507936507936508,1.0155825233518865,0.06004901960784314,0.8166666666666667,0.031170483460559797,0.06001224739742805
horizon,168,168h（周前）,TimesFM,False,False,25,37.54409533088479,41.842091714740015,67.33084253579567,81.14636032454214,74.20894944123029,22.59164196400785,15.434033494556234,18.901241783855678,0.7276190476190476,0.18786614539758284,0.9025817886937697,0.04596273291925466,0.9736842105263158,0.023536895674300253,0.2562834775442934
horizon,168,168h（周前）,Chronos2,False,False,25,37.527000328873825,41.206309151793064,66.11174515285292,78.31137372810116,75.31040093458469,20.730329708005872,15.062558947833296,18.022778928994647,0.7443650793650793,0.15929332634985657,0.9021708149479172,0.23386243386243386,0.6949685534591195,0.1405852417302799,0.34905660377358494
horizon,168,168h（周前）,Toto,False,False,25,65.79234856704558,81.07439011832493,259.7939186161933,482.8625586378073,94.28133745991647,19.591815086195574,19.867122621148262,22.36649998694357,0.7555555555555555,0.1657067975562916,1.5816861514081533,0.18824701195219123,0.4334862385321101,0.12022900763358779,0.39170836311651175
