knob,knob_value,knob_label,model,covariates_used,multivariate_used,n_origins,mae_mean,mae_std,rmse_mean,rmse_std,smape_mean,smape_std,pinball_mean,pinball_std,coverage_mean,coverage_std,mase_mean,rmae_mean,rmae_std,inference_time_s,inference_time_per_day_s,spike_f1_mean_signal,spike_precision,spike_recall,spike_f1_q90_signal
covariates,[],无协变量,Naive,False,False,336,31.588733655065035,30.592913789132506,37.01608153779672,35.38643704184417,86.28872421053663,34.035637557963405,12.297748294304844,11.48168984323534,0.8348627645502646,0.24439225877127313,1.3922040555201702,1.5809834834482948,1.2855141609917207,0.12,0.0,0.28063241106719367,0.18179702048417132,0.6149606299212599,0.128394500624929
covariates,[],无协变量,SeasonalNaive,False,False,336,22.68972966269841,27.3526269226798,32.86400013392642,43.55341798233521,78.12139868639035,37.22588847844872,8.870673919815793,11.029399130321165,0.8370949074074074,0.15643609245774523,1.0,1.0807059619153478,1.0022682570018027,0.1,0.0,0.30393700787401573,0.30393700787401573,0.30393700787401573,0.20297504798464494
covariates,[],无协变量,ETS,False,False,336,28.88855582315179,35.397773518691395,35.24928569097276,42.98056634110251,94.10163595323138,41.05442184940466,10.75705189315623,15.254770627360505,0.7459077380952381,0.2830516125433704,1.2731996481493633,1.3257543260812963,1.0015589750565264,61.39,0.183,0.36874361593462723,0.27286470143613,0.568503937007874,0.21996400973854136
covariates,[],无协变量,Theta,False,False,336,25.76539953824864,27.528154546170516,31.858414202058146,33.530417783838374,82.64076873417073,37.30937072709,9.75514417456503,11.021835741457279,0.7648396164021163,0.26345496731280826,1.1355533944772638,1.2151715961714653,0.8437103568509334,4.23,0.013,0.3677062374245473,0.27014042867701404,0.5755905511811024,0.20095693779904306
covariates,[],无协变量,RandomForest,False,False,336,31.17580018473032,29.742045126998246,38.22230816231621,37.25913543313499,85.35519091118736,34.28164561937546,14.514952252830941,14.925329460804402,0.17046957671957672,0.20386354949095123,1.3740049197669766,1.5767660184067838,1.2828263282040446,503.96,1.5,0.28631756756756754,0.1956145412579342,0.5338582677165354,0.28671464695584514
covariates,[],无协变量,LightGBM,False,False,336,34.816140127005326,42.17284903079064,42.794103275709986,51.43680272074375,85.93634157471062,35.22543190970756,15.503084082913537,20.790778406801294,0.3351934523809524,0.31878506000041545,1.534444907214675,1.6657421783890811,1.5424074433330826,1165.82,3.47,0.27753934191702434,0.18741374551476678,0.5346456692913386,0.26164998274076634
covariates,[],无协变量,XGBoost,False,False,336,28.64850469231996,30.483024919755206,35.07923532282042,37.33459558673973,83.00927056188723,33.86935731102414,14.179847570423844,15.246360356719588,0.020833333333333332,0.03418902782693206,1.26261992179738,1.413670806287071,1.030055687439995,445.28,1.325,0.2966417910447761,0.21073558648111332,0.5007874015748032,0.2954073390260789
covariates,[],无协变量,TimesFM,False,False,336,16.366476763512125,17.823844144157807,22.854962353595187,29.016611552605386,67.44933961834161,34.957737997472904,5.627474070879968,6.83220405664176,0.7685185185185184,0.17114429120113467,0.7213165166272729,0.7533836993721899,0.3674732988032645,148.54,0.442,0.449975111996018,0.6116373477672531,0.35590551181102364,0.35261504343004996
covariates,[],无协变量,Chronos2,False,False,336,16.867070959745043,18.797621816741433,23.43018859051203,29.124225014885845,68.9008910951191,35.157638284564484,5.811070899498527,7.200787156081198,0.7310267857142857,0.18621567597514607,0.7433791063396522,0.7702356145528201,0.3788302098698326,30.45,0.091,0.48979591836734704,0.5959367945823928,0.415748031496063,0.34641699675909254
covariates,[],无协变量,Toto,False,False,336,30.93486054886568,44.93118936852821,64.72619623745004,156.2824377334171,79.42519509706571,33.1946211613872,8.150734034415253,10.566520205018632,0.7887318121693122,0.16498754067038895,1.3633860345071516,1.3387860928784174,1.0693384080961483,435.68,1.297,0.38428956488255683,0.3760361718161266,0.39291338582677166,0.3281930942004694
covariates,[],无协变量,Toto2,False,False,336,17.058700206627318,21.096122860804275,23.655057854552318,30.3088596889752,68.82834732668668,34.54551843587062,5.882087161955213,7.322944319365903,0.7715360449735449,0.1680169137261353,0.7518247445085948,0.7807037217324465,0.39353733716656,14.41,0.043,0.4782400765184123,0.6090133982947625,0.3937007874015748,0.32800672834314554
covariates,['load'],+负荷,Naive,False,False,336,31.588733655065035,30.592913789132506,37.01608153779672,35.38643704184417,86.28872421053663,34.035637557963405,12.297748294304844,11.48168984323534,0.8348627645502646,0.24439225877127313,1.3922040555201702,1.5809834834482948,1.2855141609917207,0.1,0.0,0.2818477084085168,0.18281835205992508,0.6149606299212599,0.12848209209778283
covariates,['load'],+负荷,SeasonalNaive,False,False,336,22.68972966269841,27.3526269226798,32.86400013392642,43.55341798233521,78.12139868639035,37.22588847844872,8.870673919815793,11.029399130321165,0.8370949074074074,0.15643609245774523,1.0,1.0807059619153478,1.0022682570018027,0.1,0.0,0.3047244094488189,0.3047244094488189,0.3047244094488189,0.20297862118664425
covariates,['load'],+负荷,ETS,False,False,336,28.88855582315179,35.397773518691395,35.24928569097276,42.98056634110251,94.10163595323138,41.05442184940466,10.75705189315623,15.254770627360505,0.7459077380952381,0.2830516125433704,1.2731996481493633,1.3257543260812963,1.0015589750565264,67.92,0.202,0.3681388817972939,0.2723838307517945,0.5677165354330709,0.2199618563254927
